#,titulo,url,descripcion
1,"New York gunman was targeting NFL but went to wrong office, mayor says",https://www.bbc.com/news/articles/c2en7k2e77wo,Four people were killed when a gunman stormed a sk
2,Watch: Timelapse shows powerful storm rolling into Minnesota,https://www.bbc.com/news/videos/cy984gpw953o,The storm system that swept through state on Sunda
4,Trump discusses whisky tariffs and Gaza with Scotland's Swinney,https://www.bbc.com/news/articles/cx2q5pwzz1yo,The two leaders met ahead of the US president's ne
5,US companies up against 'nightmare' tariff wall,https://www.bbc.com/news/articles/cqx2xx8qpl4o,Businesses both small and large are already reckon
6,"Ozzy cortege to make final trip through Birmingham, UK",https://www.bbc.com/news/articles/cgeryx3j01go,Fans will get a chance to say farewell to the lege
8,"'Hero' policeman died saving lives, say NYC officials",https://www.bbc.com/news/articles/cx29l8dw8d2o,Police officer Didarul Islam and Blackstone employ
9,'So terrifying' - New Yorkers describe scrambling for cover,https://www.bbc.com/news/articles/clyj4y145xxo,Nearby workers fled and took cover after gunfire b
10,Watch: Police respond to Manhattan attack,https://www.bbc.com/news/videos/c1le41vmvpno,A New York City police officer is among the four p
11,BBC visits Beijing region hit by deadly flood,https://www.bbc.com/news/videos/c201g7152nxo,"The BBC's Stephen McDonell is in Miyun, one of the"
12,"Faster than Rory, further than Bryson - life on golf's 'party' side",https://www.bbc.com/sport/golf/articles/cvg6g057ve3o,Northern Ireland's Aaron Lennie takes BBC Sport in
14,Could aluminium become the packaging 'champion'?,https://www.bbc.com/news/articles/ce3nw5vnzgpo,Some packaging firms say aluminium could be used m
15,India's AI-driven tech firings could derail middle class dreams,https://www.bbc.com/news/articles/cx2p4nqd352o,India's largest IT services company has announced 
17,Merger could create first coast-to-coast US freight railroad,https://www.bbc.com/news/articles/cx2qll58914o,"Union Pacific agrees to buy Norfolk Southern, esta"
18,"Nigeria's victorious women footballers promised $100,000 each",https://www.bbc.com/news/articles/c3wnq61405go,"Returning home as African champions, the president"
20,Man sentenced to death over killing of Irish soldier Seán Rooney,https://www.bbc.com/news/articles/cvgnl2vxe25o,Pte Seán Rooney was in an armoured UN vehicle whic
21,Watch: Nursing home residents rescued from China floods,https://www.bbc.com/news/videos/cy40dk9vx00o,At least 30 people have been killed in floods that
23,India coach Gambhir in confrontation with Surrey ground staff,https://www.bbc.com/sport/cricket/articles/c1leg4n7197o,Video footage emerges on social media of a confron
24,Watkins and Sesko on Man Utd radar - how do they compare to Hojlund?,https://www.bbc.com/sport/football/articles/cdx09dgl64xo,Aston Villa's Ollie Watkins and RB Leipzig's Benja
26,World Rugby boss rejects Schmidt's clearout claim,https://www.bbc.com/sport/rugby-union/articles/c75465dvkvdo,World Rugby boss Alan Gilpin rejects Australia coa
